t,x,y,yaw,h,dx,dy,dyaw,dh
0.000000,6.400000,5.400000,0.000000,0.215000,0.000000,0.000000,0.000000,0.000000
0.002000,6.400009,5.400000,0.000000,0.215006,0.009160,0.000003,0.000000,0.005993
0.004000,6.400037,5.400000,0.000000,0.215024,0.018319,0.000007,0.000000,0.011985
0.006000,6.400082,5.400000,0.000000,0.215054,0.027479,0.000010,0.000000,0.017978
0.008000,6.400147,5.400000,0.000000,0.215096,0.036639,0.000013,0.000000,0.023970
0.010000,6.400229,5.400000,0.000000,0.215150,0.045798,0.000017,0.000000,0.029963
0.012000,6.400330,5.400000,0.000000,0.215216,0.054958,0.000020,0.000000,0.035956
0.014000,6.400449,5.400000,0.000000,0.215294,0.064118,0.000023,0.000000,0.041948
0.016000,6.400586,5.400000,0.000000,0.215384,0.073277,0.000026,0.000000,0.047941
0.018000,6.400742,5.400000,0.000000,0.215485,0.082437,0.000030,0.000000,0.053933
0.020000,6.400916,5.400000,0.000000,0.215599,0.091597,0.000033,0.000000,0.059926
0.022000,6.401108,5.400000,0.000000,0.215725,0.100756,0.000036,0.000000,0.065919
0.024000,6.401319,5.400000,0.000000,0.215863,0.109916,0.000040,0.000000,0.071911
0.026000,6.401548,5.400001,0.000000,0.216013,0.119076,0.000043,0.000000,0.077904
0.028000,6.401795,5.400001,0.000000,0.216175,0.128235,0.000046,0.000000,0.083897
0.030000,6.402061,5.400001,0.000000,0.216348,0.137395,0.000050,0.000000,0.089889
0.032000,6.402345,5.400001,0.000000,0.216534,0.146555,0.000053,0.000000,0.095848
0.034000,6.402647,5.400001,0.000000,0.216731,0.155714,0.000056,0.000000,0.100929
0.036000,6.402968,5.400001,0.000000,0.216938,0.164874,0.000060,0.000000,0.106011
0.038000,6.403307,5.400001,0.000000,0.217155,0.174033,0.000063,0.000000,0.111092
0.040000,6.403664,5.400001,0.000000,0.217382,0.183193,0.000066,0.000000,0.116173
0.042000,6.404039,5.400001,0.000000,0.217620,0.192352,0.000070,0.000000,0.121254
